name,bio,expertises,total_ratings,avarage_rating
Eliane Aguiar Monteiro Marques Cerchiari,"Olá! Como vc está?, Meu nome é Eliane e sou psicóloga clínica. A Psicologia tem várias abordagens para lidar com as dificuldades humanas, e a abordagem que sigo é a Gestalt-Terapia; uma forma de olhar o ser humano como ele é, com suas dificuldades e potencialidades. Ela visa acompanhar o cliente para o seu desenvolvimento frente a demandas da vida e do cotidiano. Nessa abordagem, estarei junto a você em seu processo de descoberta de si mesmo, de sua forma de ser, do que lhe é próprio ou o que lhe faz sentido, ou o que não é seu e não faz mais sentido em sua existência. , A proposta é a de caminharmos lado a lado, na busca das suas respostas e do que você entende ser o sentido de sua existência. Nessa trajetória estarei junto com você para lidar com suas perdas; suas conquistas não olhadas; suas habilidades não vistas; seus medos; suas dores sentidas e não compartilhadas; a forma como você pôde lidar com o que aconteceu e o que entende que já pode ser mudado...enfim, estarei aqui para ouvi-lo atentamente e para juntos compreendermos o seu ser., Desta forma, te faço uma pergunta famosa dentro da Psicologia: Fez sentido para você? Se fez, entre em contato e agende uma sessão! , Atendimentos: , Online: adultos e idosos., Presencial: crianças a partir de 3 anos, adolescentes a partir de 12 anos, adultos e idosos., Endereços consultórios:, 1. Av. Dr. Gentil de Moura, 287 - Ipiranga, São Paulo (ao lado da estação Alto do Ipiranga do Metrô – linha 2 verde)., 2. Rua Domingos de Morais, 2781 – V. Mariana, São Paulo (próximo à estação Santa Cruz do Metrô – Linha 1 azul)., ,","Acompanhamento pessoal, Ansiedade, Conflitos Amorosos, Conflitos Familiares, Depressão, Desenvolvimento Pessoal, Estresse, Estresse Pós Traumático, Família, Infância, Morte e Luto, Orientação psicológica, Pacientes Enfermos, Relacionamentos Afetivos, Incertezas quanto ao momento e futuro",269,5.0
Rafael Cristiano Batista,"Olá, Como você está?, , Primeiramente, quero dizer que Levo muito a sério o meu trabalho como Psicólogo e a expectativa que a pessoa constrói quando entra em processo de analise comigo, será um processo que irei te possibilitar escuta e acolhimento livre de julgamentos, onde possamos caminhar lado a lado reconhecendo as raízes daquilo que lhe causa sofrimento., , Falar sobre nossas emoções permite que o ressignificamos, o não dito virá sintoma em nosso corpo, assim, possamos juntos compreender e construir perspectivas diferentes, , Minha abordagem terapêutica é a psicanálise, isso significa que minha perspectiva de mundo do humano e do sofrimento psíquico é pautada por teóricos como Freud, Lacan, Winnicott e outros contemporâneos. , , Minhas áreas de estudo são diversas, entendo que tudo que vem do sofrimento humano é do interesse do psicólogo seja ela relacionada à sua saúde mental, sexual/sexualidade, conflitos com família, autoestima e relacionadas ao trabalho., , Dúvidas não hesitem em me chamar!, , Será um prazer te conhecer!, , , ,","Ansiedade, Casal, Casamento, Compulsões, Conflitos Amorosos, Conflitos Familiares, Dependência Química, Depressão, Desenvolvimento Pessoal, Estresse, Família, Orientação de pais, Orientação Profissional, Psicologia Clínica, Psicologia Organizacional, Saúde Mental, Violência Sexual, Sexualidade e identidade de gênero, Seleção de pessoal por competências, Sexualidade e Identidade de gênero, Maternidade, Paternidade",111,4.783783783783784
Jhennifer Campos Lubanco de Barcelos,"Olá, bem vindo(a) ao meu perfil aqui na Psicologia Viva. , Se você veio até aqui, acredito que você buscou olhar para dentro, e que maravilha poder te acompanhar nesse processo de autoconhecimento e ressignificações. Sei que não foi fácil chegar até aqui e olhar para aquilo que te atravessou enquanto pessoa, olhar para sua história com momentos bons e ruins! Isso é um ato de cuidado e posso te dar uma  boa notícia!!! Te garanto que essa decisão foi a melhor  que tomou por si mesma (o), e estou aqui para juntas (os) começarmos seu processo psicoterapêutico., , Há quase 5 anos venho atendendo pacientes adultos e adolescentes como psicóloga clínica, com a abordagem psicanalítica, e posso dizer que nesse percurso vi muitos pacientes ressignificando dores e tentando lidar com questões importantes de sua vida, e o melhor,  de uma maneira saudável! , , Então vamos  começar ? Qualquer dúvida estou á disposição.,","Acompanhamento psicológico de Gravidez, Ansiedade, Casal, Casamento, Conflitos Amorosos, Conflitos Familiares, Depressão, Desenvolvimento Pessoal, Estresse, Estresse Pós Traumático, Família, Infância, Morte e Luto, Orientação de pais, Psicologia Clínica, Relacionamentos Afetivos, Saúde Mental, Síndrome do Pânico, Suicídio, Violência Doméstica, Violência Sexual",94,4.968085106382978
Gustavo Simões Ramos,"Oi, me chamo Gustavo! Estou disponível para atender você a partir da Psicologia Humanista - Psicoterapia Centrada na Pessoa.  O trabalho é voltado para o desenvolvimento pessoal, de potencialidades, autoconhecimento, autoestima, fortalecimento de relações e autorresponsabilização dos clientes. Como facilitador, irei te auxiliar a aumentar a compreensão sobre si mesmo, potencializar sua abertura para novas experiências e a se sentir psiquicamente organizado para encarar sua realidade e fazer escolhas. Meu sentido é ajudar as outras pessoas a buscarem o sentido delas.  Possuo experiência em atendimento clínico através da Psicoterapia Centrada na Pessoa, acolhimento, escuta psicológica e avaliação psicológica. Será um prazer te conhecer!,","Ansiedade, Casamento, Conflitos Amorosos, Conflitos com a Lei, Conflitos Familiares, Depressão, Desenvolvimento Pessoal, Estresse, Família, Orientação psicológica, Psicologia Clínica, Relacionamentos Afetivos, Saúde Mental, Quarentena e Isolamento Social, Incertezas quanto ao momento e futuro, Sexualidade e identidade de gênero, Sexualidade e Identidade de gênero",174,4.988505747126437
Fernanda Dudek,"Você que chegou até meu perfil, seja muito bem-vindo(a)!, , Me chamo Fernanda Dudek. Sou psicóloga clínica e trabalho com a abordagem junguiana. Tenho como propós...,","Acompanhamento psicológico de Gravidez, Acompanhamento pessoal, Acompanhamento psicológico de idosos, Ansiedade, Compulsões, Conflitos Amorosos, Conflitos Familiares, Dependência Química, Depressão, Estresse, Fobias, Medos e Fobias, Morte e Luto, Psicologia Clínica, Psicologia Social, Relacionamentos Afetivos, Síndrome do Pânico, Suicídio, Transtorno Bipolar, Violência Sexual, Incertezas quanto ao momento e futuro, Sexualidade e identidade de gênero",55,5.0
Andressa Severo Pinto,"Olá, seja bem-vindo ao meu perfil. Meu nome é Andressa Severo, sou formada pela SOBRESP e trabalho com a Teoria Cognitivo Comportamental., Amo a psicologia, a clínica, ajudar e ouvir pessoas, acolher e auxiliar para que tenham uma melhor qualidade de vida e me encanta participar do processo de mudança das pessoas., ,","Ansiedade, Compulsões, Conflitos Amorosos, Dependência Química, Depressão, Fobias, Psicologia Clínica, Suicídio, TDAH (Transtorno de Déficit de Atenção e Hiperatividade), TOC (Transtorno Obsessivo Compulsivo), Transtorno Bipolar, Transtorno de Humor, Transtornos do Sono",4,5.0
Hellen Rose Correa Santos,,"Ansiedade, Casal, Casamento, Conflitos Amorosos, Conflitos Familiares, Depressão, Estresse, Morte e Luto, Orientação de pais, Psicologia Clínica, Relacionamentos Afetivos, Síndrome do Pânico, TOC (Transtorno Obsessivo Compulsivo), Quarentena e Isolamento Social, Incertezas quanto ao momento e futuro, Sexualidade e identidade de gênero",9,4.888888888888889
STEFANI OLIVEIRA DO NASCIMENTO,"Olá! Gratidão ter você aqui. Me chamo Stéfani Oliveira, sou Psicóloga Clínica, pós graduanda em Neuropsicologia. Oriento os meus atendimentos pela abordagem Sistêmica. Então se você sente que tem vivenciado diversos conflitos nas suas relações, e que não consegue expressar nem lidar com suas emoções e sentimentos de forma genuína, quero te lembrar que tudo isso é passível de mudança, e estar aqui já é o primeiro passo. Trabalho com uma linha teórica que além de flexibilizar as relações e melhorar a comunicação, permite ao sujeito compreender suas atitudes, comportamentos e relacionamentos. Proporcionando autoconhecimento e compreensão sobre seu papel. Então te convido a conversar para que assim, possamos dar início a esse processo transformador.,","Acompanhamento pessoal, Adoção de Filhos, Ansiedade, Conflitos Amorosos, Conflitos Familiares, Depressão, Família, Morte e Luto, Orientação Profissional, Orientação psicológica, Psicologia Clínica, Relacionamentos Afetivos, TDAH (Transtorno de Déficit de Atenção e Hiperatividade), Testes psicológicos, Avaliação Psicológica",11,5.0
Bianca Aguiar Gonet da Conceição,,"Ansiedade, Conflitos Amorosos, Conflitos Familiares, Depressão, Desenvolvimento Pessoal, Estresse, Morte e Luto, Maternidade, Parentalidade",17,5.0
Dra Adriana de Fatima Ribeiro,"Olá, bem-vindo (a) ao meu perfil profissional., , Você sabe como um processo psicoterapêutico pode te ajudar?, , Eu sou psicóloga e tenho conhecimento teórico e prático em gestão de pessoas, avaliação psicológica, comportamental, cognitiva e orientação vocacional/profissional para atender jovens e adultos. Além disso, possuo mestrado e doutorado em Distúrbios do Desenvolvimento., , Realizo atendimentos psicológicos presenciais e online para adolescentes e adultos. Atendo pacientes de todo o Brasil e brasileiros que vivem no Exterior. , , Atuo em psicoterapia com abordagem na Terapias Cognitivo Comportamentais e psicologia positiva, busco fortalecer os aspectos saudáveis para amenizar as suas dificuldades, eu posso te ajudar a reconhecer suas forças e potencializar as suas habilidades e bem-estar emocional., , Realizo Avaliação Psicológica, comportamental e cognitiva em crianças, adolescentes e adultos com dificuldade para habilidade de interação social, dificuldade escolar, falta de concentração, agitação, agressividade, memória e questões emocionais e comportamentais.  , , Trabalho com Orientação Vocacional/Profissional, esse  possibilita o autoconhecimento, pois é onde vocês (adolescentes e adultos) podem descobrir as suas habilidades, aptidões, competências, interesses e personalidade, para ajudar na decisão para o percurso acadêmico, carreira profissional e/ou auxiliar para o desenvolvimento no mercado de trabalho., , Aguardo seu contato para caminharmos juntos., , Contatos:, e-mail: ribeiropsico@outlook.com, Telefone/Whatsapp: + (11) 97111-8117, , Sou autora e coautora de vários artigos e livros - você pode encontrar todas as obras no meu Currículo Lattes: http://lattes.cnpq.br/8922063444574345 , , _Psicóloga Clínica no consultório particular, desde 2011. , _Pesquisadora desde 2008 até o momento, colaboradora no grupo de pesquisa em Distúrbios do desenvolvimento no departamento de Pós Graduação da Universidade Presbiteriana Mackenzie-UPM, com foco em queixas nas dificuldades escolares (Transtornos de Déficit de Atenção e Hiperatividade (TDAH), Dislexia, Deficiência Intelectual, Transtorno do Espectro Autista (TEA) e Síndromes Genéticas (Síndrome de Williams, Síndrome de Down)., _Estágio na área da Psicologia Jurídica no abrigo Liga das Senhoras Católicas de SP, DOM DUARTE (2010-2011)., _Estágio na área da psicologia clínica Analítica e psicoterapia breve, na clínica escola da Universidade Presbiteriana Mackenzie-UPM (2010-2011)., _Consultoria para produção cinematográfica - Orientação sobre os comportamentos de pessoas com transtornos do neurodesenvolvimento, como os Transtornos de Déficit de Atenção e Hiperatividade/Impulsividade, Dislexia, Transtorno do Espectro Autista, Deficiência Intelectual., , , , , ,","Ansiedade, Aprendizagem, Conflitos Amorosos, Conflitos Familiares, Depressão, Desenvolvimento Pessoal, Entrevistas Psicológicas, Estresse, Orientação de pais, Orientação para problemas de aprendizagem, Orientação psicológica, Psicologia Clínica, Psicologia Organizacional, Realização de exames psicológicos, TDAH (Transtorno de Déficit de Atenção e Hiperatividade), Testes psicológicos, Violência Doméstica, Quarentena e Isolamento Social, Adaptação ao Home Office, Incertezas quanto ao momento e futuro, Desenvolvimento de Competências Profissionais, Avaliação Psicológica, Recrutamento e seleção de pessoal",346,4.953757225433526
